state,value
Alabama,04858979
Alaska,00738432
Arkansas,02978204
Arizona,06828065
California,39144818
Colorado,05456574
Connecticut,03590886
Delaware,00945934
Florida,20271272
Georgia,10214860
Hawaii,01431603
Iowa,03123899
Idaho,01654930
Illinois,12859995
Indiana,06619680
Kansas,02911641
Kentucky,04425092
Louisiana,04670724
Maine,01329328
Maryland,06006401
Massachusetts,06794422
Michigan,09922576
Minnesota,05489594
Missouri,06083672
Mississippi,02992333
Montana,01032949
North Carolina,10042802
North Dakota,00756927
Nebraska,01896190
New Hampshire,01330608
New Jersey,08958013
New Mexico,02085109
Nevada,02890845
New York,19795791
Ohio,11613423
Oklahoma,03911338
Oregon,04028977
Pennsylvania,12802503
Rhode Island,01056298
South Carolina,04896146
South Dakota,00858469
Tennessee,06600299
Texas,27469114
Utah,02995919
Virginia,08382993
Vermont,0626042
Washington,07170351
Wisconsin,05771337
West Virginia,01844128
Wyoming,00586107
